cuenta,mes,saldo,pago,nuevos_cargos
ATT,Septiembre 2019,188.00,0.00,0.00
ATT,Octubre 2019,188.00,0.00,0.00
ATT,Noviembre 2019,187.04,187.04,0.00
ATT,Diciembre 2019,187.04,187.04,187.04
ATT,Enero 2020,187.04,187.04,187.04
ATT,Febrero 2020,187.04,0.00,187.04
ATT,Marzo 2020,187.04,0.00,0.00
ATT,Abril 2020,187.04,0.00,0.00
ATT,Mayo 2020,187.04,0.00,0.00
ATT,Junio 2020,187.04,0.00,0.00
ATT,Julio 2020,250.77,0.00,63.73
ATT,Agosto 2020,186.93,186.93,0.00
ATT,Septiembre 2020,186.93,186.93,186.93
ATT,Octubre 2020,186.93,186.93,186.93
ATT,Noviembre 2020,186.93,186.93,186.93
ATT,Diciembre 2020,186.93,186.93,186.93
ATT,Enero 2021,186.93,186.93,186.93
ATT,Febrero 2021,186.93,186.93,186.93
ATT,Marzo 2021,186.93,186.93,186.93
ATT,Abril 2021,186.93,186.93,186.93
ATT,Mayo 2021,186.93,186.93,186.93
ATT,Junio 2021,186.93,96.00,186.93
ATT,Julio 2021,186.93,96.00,96.00
ATT,Agosto 2021,186.93,96.00,96.00
ATT,Septiembre 2021,186.93,96.00,96.00
ATT,Octubre 2021,186.93,96.00,96.00
ATT,Noviembre 2021,186.93,96.00,96.00
ATT,Diciembre 2021,96.00,73.57,5.07
ATT,Enero 2022,210.53,114.53,188.10
ATT,Febrero 2022,186.93,96.00,90.93
ATT,Marzo 2022,159.05,63.05,68.12
ATT,Abril 2022,159.05,63.05,63.05
ATT,Mayo 2022,159.05,63.05,63.05
ATT,Junio 2022,159.05,63.05,63.05
ATT,Julio 2022,159.05,63.05,63.05
ATT,Agosto 2022,159.05,63.05,63.05
ATT,Septiembre 2022,159.05,63.05,63.05
ATT,Octubre 2022,159.05,63.05,63.05
ATT,Noviembre 2022,159.05,63.05,63.05
ATT,Diciembre 2022,264.42,168.42,168.42
Amazon,Julio 2019,260.52,260.52,0.00
Amazon,Agosto 2019,63.97,63.97,63.97
Amazon,Octubre 2019,64.36,64.36,64.36
Amazon,Noviembre 2019,32.09,32.09,32.09
Amazon,Diciembre 2019,295.03,50.00,295.03
Amazon,Enero 2020,235.05,50.00,0.00
Amazon,Febrero 2020,172.48,50.00,0.00
Amazon,Marzo 2020,70.00,28.93,0.00
Amazon,Abril 2020,134.64,134.64,93.57
Amazon,Mayo 2020,213.21,150.00,213.21
Amazon,Junio 2020,63.21,63.21,0.00
Amazon,Julio 2020,117.86,117.86,117.86
Amazon,Agosto 2020,88.17,88.17,88.17
Amazon,Septiembre 2020,393.21,250.00,393.21
Amazon,Octubre 2020,159.29,0.00,16.08
Amazon,Noviembre 2020,239.37,239.37,80.08
Amazon,Diciembre 2020,308.75,50.00,308.75
Amazon,Enero 2021,57.66,57.66,0.00
Amazon,Febrero 2021,193.18,193.18,193.18
Amazon,Marzo 2021,292.87,292.87,292.87
Amazon,Abril 2021,433.70,200.00,433.70
Amazon,Mayo 2021,209.65,100.00,0.00
Amazon,Junio 2021,912.40,100.00,802.75
Amazon,Julio 2021,1266.49,200.00,454.09
Amazon,Agosto 2021,1028.92,200.00,0.00
Amazon,Septiembre 2021,852.01,200.00,23.09
Amazon,Octubre 2021,950.18,100.00,298.17
Amazon,Noviembre 2021,1032.31,400.00,182.13
Amazon,Diciembre 2021,584.63,584.63,0.00
Amazon,Enero 2022,128.38,533.95,128.38
Amazon,Febrero 2022,500.00,0.00,905.57
Amazon,Marzo 2022,137.46,137.46,0.00
Amazon,Abril 2022,131.88,131.88,131.88
Amazon,Mayo 2022,139.54,139.54,139.54
Amazon,Junio 2022,57.17,57.17,57.17
Amazon,Julio 2022,407.84,137.46,407.84
Amazon,Agosto 2022,289.00,289.00,18.62
Amazon,Septiembre 2022,51.04,51.04,51.04
Amazon,Octubre 2022,0.00,0.00,0.00
Amazon,Noviembre 2022,0.00,0.00,0.00
Amazon,Diciembre 2022,189.24,173.39,189.24
Amex Jennifer,Febrero 2019,1160.84,200.00,0.00
Amex Jennifer,Marzo 2019,1934.00,300.00,973.16
Amex Jennifer,Abril 2019,2133.71,0.00,499.71
Amex Jennifer,Mayo 2019,1933.71,250.00,0.00
Amex Jennifer,Junio 2019,1589.83,200.00,0.00
